Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
Laptop HP Compag 6520s cũ thanh lý văn phòng,1599000,6,Shop_ID_38429506,38429506,https://shopee.vn/Laptop-HP-Compag-6520s-c-thanh-l-vn-phng-i.38429506.697992536
LAPTOP CŨ CẤU HÌNH CORE i3 - i5 - i7 PHỤC VỤ HỌC TẬP-VĂN PHÒNG-GIẢI TRÍ (VUI LÒNG ĐỌC KĨ TRƯỚC KHI MUA HÀNG),2900000,8,Shop_ID_78704495,78704495,https://shopee.vn/LAPTOP-C-CU-HNH-CORE-i3---i5---i7-PHC-V-HC-TP-VN-PHNG-GII-TR-VUI-LNG-C-K-TRC-KHI-MUA-HNG-i.78704495.19291868135
Máy tính xách tay - Laptop M.A.C pro 14inch 2021 màu bạc Chíp Mờ 1 Pro dung lượng lớn  - Đã qua sử dụng,18990000,39,Shop_ID_798413425,798413425,https://shopee.vn/My-tnh-xch-tay---Laptop-MAC-pro-14inch-2021-mu-bc-Chp-M-1-Pro-dung-lng-ln-----qua-s-dng-i.798413425.27402607756
"laptop cũ giá rẻ dành cho học sinh , sinh viên học tập và giải trí",1200000,1,Shop_ID_898393589,898393589,https://shopee.vn/laptop-c-gi-r-dnh-cho-hc-sinh--sinh-vin-hc-tp-v-gii-tr-i.898393589.40873340268
Laptop Cũ Asus Vivobook A510U Core I3-8130U/ Ram 4GB/ SSD 128GB + HDD 500GB/ VGA Intel UHD Graphics/ LCD 15.6'' inch,4800000,0,Shop_ID_1507141073,1507141073,https://shopee.vn/Laptop-C-Asus-Vivobook-A510U-Core-I3-8130U-Ram-4GB-SSD-128GB--HDD-500GB-VGA-Intel-UHD-Graphics-LCD-156-inch-i.1507141073.26735794448
"Laptop Dell Vostro 3750 Core i7 RAM 4GB, HDD 250GB 17.3inch hàng nhập khẩu + bộ quà tặng",2500000,3,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Dell-Vostro-3750-Core-i7-RAM-4GB-HDD-250GB-173inch-hng-nhp-khu--b-qu-tng-i.96461069.1647632441
Laptop thinkpad x1 carbon gen 7 Core i5 8th Ram 16GB SSD 256GB Pin>3h,6950000,4,Shop_ID_25826246,25826246,https://shopee.vn/Laptop-thinkpad-x1-carbon-gen-7-Core-i5-8th-Ram-16GB-SSD-256GB-Pin3h-i.25826246.16524276780
"Laptop gaming dell N7559 core i7 6700hq,vga gtx 960 4g, laptop cũ chơi game đồ họa",9200000,158,Shop_ID_796323094,796323094,https://shopee.vn/Laptop-gaming-dell-N7559-core-i7-6700hqvga-gtx-960-4g-laptop-c-chi-game--ha-i.796323094.21725128937
"Laptop Giá Rẻ DELL latitude 5521 I5- 11300H RAM8 SSD 256GB LCD 15,6 inch PIN >3H Chip siêu khủng",8400000,15,Shop_ID_1188557488,1188557488,https://shopee.vn/Laptop-Gi-R-DELL-latitude-5521-I5--11300H-RAM8-SSD-256GB-LCD-156-inch-PIN-3H-Chip-siu-khng-i.1188557488.42720955490
xác laptop lenovo G40-70 Có mọi thứ,99999,4,Shop_ID_16617149,16617149,https://shopee.vn/xc-laptop-lenovo-G40-70-C-mi-th-i.16617149.22768169312
"[VỎ NHÔM] Lenovo Chromebook C340-15 81T9- Màn Cảm Ứng 15.6"" 360 độ - Giải Trí 4K Cực Mượt",3300000,0,Shop_ID_144597753,144597753,https://shopee.vn/V-NHM-Lenovo-Chromebook-C340-15-81T9--Mn-Cm-ng-156-360----Gii-Tr-4K-Cc-Mt-i.144597753.49357050210
"Laptop Dell Latitude 5500 Core i7 8665U | RAM 16G | SSD 256G | Màn 15.6"" FHD - Máy Nhập Khẩu Mới 99%",6799000,0,Shop_ID_222704792,222704792,https://shopee.vn/Laptop-Dell-Latitude-5500-Core-i7-8665U--RAM-16G--SSD-256G--Mn-156-FHD---My-Nhp-Khu-Mi-99-i.222704792.46106267236
